id|nazwa|woj_id|województwo|pow_id|powiat|rodzaj
020101|Bolesławiec|02|dolnośląskie|0201|bolesławiecki|"gmina miejska"
020102|Bolesławiec|02|dolnośląskie|0201|bolesławiecki|"gmina wiejska"
020103|Gromadka|02|dolnośląskie|0201|bolesławiecki|"gmina wiejska"
020104|Nowogrodziec|02|dolnośląskie|0201|bolesławiecki|"gmina miejsko-wiejska, miasto, obszar wiejski"
020105|Osiecznica|02|dolnośląskie|0201|bolesławiecki|"gmina wiejska"
020106|"Warta Bolesławiecka"|02|dolnośląskie|0201|bolesławiecki|"gmina wiejska"
020201|Bielawa|02|dolnośląskie|0202|dzierżoniowski|"gmina miejska"
020202|Dzierżoniów|02|dolnośląskie|0202|dzierżoniowski|"gmina miejska"
020203|Pieszyce|02|dolnośląskie|0202|dzierżoniowski|"gmina miejska"
020204|"Piława Górna"|02|dolnośląskie|0202|dzierżoniowski|"gmina miejska"
020205|Dzierżoniów|02|dolnośląskie|0202|dzierżoniowski|"gmina wiejska"
020206|Łagiewniki|02|dolnośląskie|0202|dzierżoniowski|"gmina wiejska"
020207|Niemcza|02|dolnośląskie|0202|dzierżoniowski|"gmina miejsko-wiejska, miasto, obszar wiejski"
020301|Głogów|02|dolnośląskie|0203|głogowski|"gmina miejska"
020302|Głogów|02|dolnośląskie|0203|głogowski|"gmina wiejska"
020303|Jerzmanowa|02|dolnośląskie|0203|głogowski|"gmina wiejska"
020304|Kotla|02|dolnośląskie|0203|głogowski|"gmina wiejska"
020305|Pęcław|02|dolnośląskie|0203|głogowski|"gmina wiejska"
020306|Żukowice|02|dolnośląskie|0203|głogowski|"gmina wiejska"
020401|Góra|02|dolnośląskie|0204|górowski|"gmina miejsko-wiejska, miasto, obszar wiejski"
020402|Jemielno|02|dolnośląskie|0204|górowski|"gmina wiejska"
020403|Niechlów|02|dolnośląskie|0204|górowski|"gmina wiejska"
020404|Wąsosz|02|dolnośląskie|0204|górowski|"gmina miejsko-wiejska, miasto, obszar wiejski"
020501|Jawor|02|dolnośląskie|0205|jaworski|"gmina miejska"
020502|Bolków|02|dolnośląskie|0205|jaworski|"gmina miejsko-wiejska, miasto, obszar wiejski"
020503|Męcinka|02|dolnośląskie|0205|jaworski|"gmina wiejska"
020504|Mściwojów|02|dolnośląskie|0205|jaworski|"gmina wiejska"
020505|Paszowice|02|dolnośląskie|0205|jaworski|"gmina wiejska"
020506|"Wądroże Wielkie"|02|dolnośląskie|0205|jaworski|"gmina wiejska"
020601|Karpacz|02|dolnośląskie|0206|jeleniogórski|"gmina miejska"
020602|Kowary|02|dolnośląskie|0206|jeleniogórski|"gmina miejska"
020603|Piechowice|02|dolnośląskie|0206|jeleniogórski|"gmina miejska"
020604|"Szklarska Poręba"|02|dolnośląskie|0206|jeleniogórski|"gmina miejska"
020605|"Janowice Wielkie"|02|dolnośląskie|0206|jeleniogórski|"gmina wiejska"
020606|"Jeżów Sudecki"|02|dolnośląskie|0206|jeleniogórski|"gmina wiejska"
020607|Mysłakowice|02|dolnośląskie|0206|jeleniogórski|"gmina wiejska"
020608|Podgórzyn|02|dolnośląskie|0206|jeleniogórski|"gmina wiejska"
020609|"Stara Kamienica"|02|dolnośląskie|0206|jeleniogórski|"gmina wiejska"
020701|"Kamienna Góra"|02|dolnośląskie|0207|kamiennogórski|"gmina miejska"
020702|"Kamienna Góra"|02|dolnośląskie|0207|kamiennogórski|"gmina wiejska"
020703|Lubawka|02|dolnośląskie|0207|kamiennogórski|"gmina miejsko-wiejska, miasto, obszar wiejski"
020704|Marciszów|02|dolnośląskie|0207|kamiennogórski|"gmina wiejska"
020801|Duszniki-Zdrój|02|dolnośląskie|0208|kłodzki|"gmina miejska"
020802|Kłodzko|02|dolnośląskie|0208|kłodzki|"gmina miejska"
020803|Kudowa-Zdrój|02|dolnośląskie|0208|kłodzki|"gmina miejska"
020804|"Nowa Ruda"|02|dolnośląskie|0208|kłodzki|"gmina miejska"
020805|Polanica-Zdrój|02|dolnośląskie|0208|kłodzki|"gmina miejska"
020806|"Bystrzyca Kłodzka"|02|dolnośląskie|0208|kłodzki|"gmina miejsko-wiejska, miasto, obszar wiejski"
020807|Kłodzko|02|dolnośląskie|0208|kłodzki|"gmina wiejska"
020808|Lądek-Zdrój|02|dolnośląskie|0208|kłodzki|"gmina miejsko-wiejska, miasto, obszar wiejski"
020809|"Lewin Kłodzki"|02|dolnośląskie|0208|kłodzki|"gmina wiejska"
020810|Międzylesie|02|dolnośląskie|0208|kłodzki|"gmina miejsko-wiejska, miasto, obszar wiejski"
020811|"Nowa Ruda"|02|dolnośląskie|0208|kłodzki|"gmina wiejska"
020812|Radków|02|dolnośląskie|0208|kłodzki|"gmina miejsko-wiejska, miasto, obszar wiejski"
020813|"Stronie Śląskie"|02|dolnośląskie|0208|kłodzki|"gmina miejsko-wiejska, miasto, obszar wiejski"
020814|Szczytna|02|dolnośląskie|0208|kłodzki|"gmina miejsko-wiejska, miasto, obszar wiejski"
020901|Chojnów|02|dolnośląskie|0209|legnicki|"gmina miejska"
020902|Chojnów|02|dolnośląskie|0209|legnicki|"gmina wiejska"
020903|Krotoszyce|02|dolnośląskie|0209|legnicki|"gmina wiejska"
020904|Kunice|02|dolnośląskie|0209|legnicki|"gmina wiejska"
020905|"Legnickie Pole"|02|dolnośląskie|0209|legnicki|"gmina wiejska"
020906|Miłkowice|02|dolnośląskie|0209|legnicki|"gmina wiejska"
020907|Prochowice|02|dolnośląskie|0209|legnicki|"gmina miejsko-wiejska, miasto, obszar wiejski"
020908|Ruja|02|dolnośląskie|0209|legnicki|"gmina wiejska"
021001|Lubań|02|dolnośląskie|0210|lubański|"gmina miejska"
021002|Świeradów-Zdrój|02|dolnośląskie|0210|lubański|"gmina miejska"
021003|Leśna|02|dolnośląskie|0210|lubański|"gmina miejsko-wiejska, miasto, obszar wiejski"
021004|Lubań|02|dolnośląskie|0210|lubański|"gmina wiejska"
021005|Olszyna|02|dolnośląskie|0210|lubański|"gmina miejsko-wiejska, miasto, obszar wiejski"
021006|Platerówka|02|dolnośląskie|0210|lubański|"gmina wiejska"
021007|Siekierczyn|02|dolnośląskie|0210|lubański|"gmina wiejska"
021101|Lubin|02|dolnośląskie|0211|lubiński|"gmina miejska"
021102|Lubin|02|dolnośląskie|0211|lubiński|"gmina wiejska"
021103|Rudna|02|dolnośląskie|0211|lubiński|"gmina wiejska"
021104|Ścinawa|02|dolnośląskie|0211|lubiński|"gmina miejsko-wiejska, miasto, obszar wiejski"
021201|"Gryfów Śląski"|02|dolnośląskie|0212|lwówecki|"gmina miejsko-wiejska, miasto, obszar wiejski"
021202|Lubomierz|02|dolnośląskie|0212|lwówecki|"gmina miejsko-wiejska, miasto, obszar wiejski"
021203|"Lwówek Śląski"|02|dolnośląskie|0212|lwówecki|"gmina miejsko-wiejska, miasto, obszar wiejski"
021204|Mirsk|02|dolnośląskie|0212|lwówecki|"gmina miejsko-wiejska, miasto, obszar wiejski"
021205|Wleń|02|dolnośląskie|0212|lwówecki|"gmina miejsko-wiejska, miasto, obszar wiejski"
021301|Cieszków|02|dolnośląskie|0213|milicki|"gmina wiejska"
021302|Krośnice|02|dolnośląskie|0213|milicki|"gmina wiejska"
021303|Milicz|02|dolnośląskie|0213|milicki|"gmina miejsko-wiejska, miasto, obszar wiejski"
021401|Oleśnica|02|dolnośląskie|0214|oleśnicki|"gmina miejska"
021402|Bierutów|02|dolnośląskie|0214|oleśnicki|"gmina miejsko-wiejska, miasto, obszar wiejski"
021403|Dobroszyce|02|dolnośląskie|0214|oleśnicki|"gmina wiejska"
021404|"Dziadowa Kłoda"|02|dolnośląskie|0214|oleśnicki|"gmina wiejska"
021405|Międzybórz|02|dolnośląskie|0214|oleśnicki|"gmina miejsko-wiejska, miasto, obszar wiejski"
021406|Oleśnica|02|dolnośląskie|0214|oleśnicki|"gmina wiejska"
021407|Syców|02|dolnośląskie|0214|oleśnicki|"gmina miejsko-wiejska, miasto, obszar wiejski"
021408|Twardogóra|02|dolnośląskie|0214|oleśnicki|"gmina miejsko-wiejska, miasto, obszar wiejski"
021501|Oława|02|dolnośląskie|0215|oławski|"gmina miejska"
021502|Domaniów|02|dolnośląskie|0215|oławski|"gmina wiejska"
021503|Jelcz-Laskowice|02|dolnośląskie|0215|oławski|"gmina miejsko-wiejska, miasto, obszar wiejski"
021504|Oława|02|dolnośląskie|0215|oławski|"gmina wiejska"
021601|Chocianów|02|dolnośląskie|0216|polkowicki|"gmina miejsko-wiejska, miasto, obszar wiejski"
021602|Gaworzyce|02|dolnośląskie|0216|polkowicki|"gmina wiejska"
021603|Grębocice|02|dolnośląskie|0216|polkowicki|"gmina wiejska"
021604|Polkowice|02|dolnośląskie|0216|polkowicki|"gmina miejsko-wiejska, miasto, obszar wiejski"
021605|Przemków|02|dolnośląskie|0216|polkowicki|"gmina miejsko-wiejska, miasto, obszar wiejski"
021606|Radwanice|02|dolnośląskie|0216|polkowicki|"gmina wiejska"
021701|Borów|02|dolnośląskie|0217|strzeliński|"gmina wiejska"
021702|Kondratowice|02|dolnośląskie|0217|strzeliński|"gmina wiejska"
021703|Przeworno|02|dolnośląskie|0217|strzeliński|"gmina wiejska"
021704|Strzelin|02|dolnośląskie|0217|strzeliński|"gmina miejsko-wiejska, miasto, obszar wiejski"
021705|Wiązów|02|dolnośląskie|0217|strzeliński|"gmina miejsko-wiejska, miasto, obszar wiejski"
021801|Kostomłoty|02|dolnośląskie|0218|średzki|"gmina wiejska"
021802|Malczyce|02|dolnośląskie|0218|średzki|"gmina wiejska"
021803|Miękinia|02|dolnośląskie|0218|średzki|"gmina wiejska"
021804|"Środa Śląska"|02|dolnośląskie|0218|średzki|"gmina miejsko-wiejska, miasto, obszar wiejski"
021805|Udanin|02|dolnośląskie|0218|średzki|"gmina wiejska"
021901|Świdnica|02|dolnośląskie|0219|świdnicki|"gmina miejska"
021902|Świebodzice|02|dolnośląskie|0219|świdnicki|"gmina miejska"
021903|Dobromierz|02|dolnośląskie|0219|świdnicki|"gmina wiejska"
021904|"Jaworzyna Śląska"|02|dolnośląskie|0219|świdnicki|"gmina miejsko-wiejska, miasto, obszar wiejski"
021905|Marcinowice|02|dolnośląskie|0219|świdnicki|"gmina wiejska"
021906|Strzegom|02|dolnośląskie|0219|świdnicki|"gmina miejsko-wiejska, miasto, obszar wiejski"
021907|Świdnica|02|dolnośląskie|0219|świdnicki|"gmina wiejska"
021908|Żarów|02|dolnośląskie|0219|świdnicki|"gmina miejsko-wiejska, miasto, obszar wiejski"
022001|"Oborniki Śląskie"|02|dolnośląskie|0220|trzebnicki|"gmina miejsko-wiejska, miasto, obszar wiejski"
022002|Prusice|02|dolnośląskie|0220|trzebnicki|"gmina miejsko-wiejska, miasto, obszar wiejski"
022003|Trzebnica|02|dolnośląskie|0220|trzebnicki|"gmina miejsko-wiejska, miasto, obszar wiejski"
022004|"Wisznia Mała"|02|dolnośląskie|0220|trzebnicki|"gmina wiejska"
022005|Zawonia|02|dolnośląskie|0220|trzebnicki|"gmina wiejska"
022006|Żmigród|02|dolnośląskie|0220|trzebnicki|"gmina miejsko-wiejska, miasto, obszar wiejski"
022101|Boguszów-Gorce|02|dolnośląskie|0221|wałbrzyski|"gmina miejska"
022102|Jedlina-Zdrój|02|dolnośląskie|0221|wałbrzyski|"gmina miejska"
022103|Szczawno-Zdrój|02|dolnośląskie|0221|wałbrzyski|"gmina miejska"
022104|"Czarny Bór"|02|dolnośląskie|0221|wałbrzyski|"gmina wiejska"
022105|Głuszyca|02|dolnośląskie|0221|wałbrzyski|"gmina miejsko-wiejska, miasto, obszar wiejski"
022106|Mieroszów|02|dolnośląskie|0221|wałbrzyski|"gmina miejsko-wiejska, miasto, obszar wiejski"
022107|"Stare Bogaczowice"|02|dolnośląskie|0221|wałbrzyski|"gmina wiejska"
022108|Walim|02|dolnośląskie|0221|wałbrzyski|"gmina wiejska"
022201|"Brzeg Dolny"|02|dolnośląskie|0222|wołowski|"gmina miejsko-wiejska, miasto, obszar wiejski"
022202|Wińsko|02|dolnośląskie|0222|wołowski|"gmina wiejska"
022203|Wołów|02|dolnośląskie|0222|wołowski|"gmina miejsko-wiejska, miasto, obszar wiejski"
022301|Czernica|02|dolnośląskie|0223|wrocławski|"gmina wiejska"
022302|Długołęka|02|dolnośląskie|0223|wrocławski|"gmina wiejska"
022303|"Jordanów Śląski"|02|dolnośląskie|0223|wrocławski|"gmina wiejska"
022304|"Kąty Wrocławskie"|02|dolnośląskie|0223|wrocławski|"gmina miejsko-wiejska, miasto, obszar wiejski"
022305|Kobierzyce|02|dolnośląskie|0223|wrocławski|"gmina wiejska"
022306|Mietków|02|dolnośląskie|0223|wrocławski|"gmina wiejska"
022307|Sobótka|02|dolnośląskie|0223|wrocławski|"gmina miejsko-wiejska, miasto, obszar wiejski"
022308|Siechnice|02|dolnośląskie|0223|wrocławski|"gmina miejsko-wiejska, miasto, obszar wiejski"
022309|Żórawina|02|dolnośląskie|0223|wrocławski|"gmina wiejska"
022401|Bardo|02|dolnośląskie|0224|ząbkowicki|"gmina miejsko-wiejska, miasto, obszar wiejski"
022402|Ciepłowody|02|dolnośląskie|0224|ząbkowicki|"gmina wiejska"
022403|"Kamieniec Ząbkowicki"|02|dolnośląskie|0224|ząbkowicki|"gmina wiejska"
022404|Stoszowice|02|dolnośląskie|0224|ząbkowicki|"gmina wiejska"
022405|"Ząbkowice Śląskie"|02|dolnośląskie|0224|ząbkowicki|"gmina miejsko-wiejska, miasto, obszar wiejski"
022406|Ziębice|02|dolnośląskie|0224|ząbkowicki|"gmina miejsko-wiejska, miasto, obszar wiejski"
022407|"Złoty Stok"|02|dolnośląskie|0224|ząbkowicki|"gmina miejsko-wiejska, miasto, obszar wiejski"
