id|nazwa|woj_id|województwo
0201|bolesławiecki|02|dolnośląskie
0202|dzierżoniowski|02|dolnośląskie
0203|głogowski|02|dolnośląskie
0204|górowski|02|dolnośląskie
0205|jaworski|02|dolnośląskie
0206|jeleniogórski|02|dolnośląskie
0207|kamiennogórski|02|dolnośląskie
0208|kłodzki|02|dolnośląskie
0209|legnicki|02|dolnośląskie
0210|lubański|02|dolnośląskie
0211|lubiński|02|dolnośląskie
0212|lwówecki|02|dolnośląskie
0213|milicki|02|dolnośląskie
0214|oleśnicki|02|dolnośląskie
0215|oławski|02|dolnośląskie
0216|polkowicki|02|dolnośląskie
0217|strzeliński|02|dolnośląskie
0218|średzki|02|dolnośląskie
0219|świdnicki|02|dolnośląskie
0220|trzebnicki|02|dolnośląskie
0221|wałbrzyski|02|dolnośląskie
0222|wołowski|02|dolnośląskie
0223|wrocławski|02|dolnośląskie
0224|ząbkowicki|02|dolnośląskie
0225|zgorzelecki|02|dolnośląskie
0226|złotoryjski|02|dolnośląskie
0261|"Jelenia Góra"|02|dolnośląskie
0262|Legnica|02|dolnośląskie
0264|Wrocław|02|dolnośląskie
0265|Wałbrzych|02|dolnośląskie
0401|aleksandrowski|04|kujawsko-pomorskie
0402|brodnicki|04|kujawsko-pomorskie
0403|bydgoski|04|kujawsko-pomorskie
0404|chełmiński|04|kujawsko-pomorskie
0405|golubsko-dobrzyński|04|kujawsko-pomorskie
0406|grudziądzki|04|kujawsko-pomorskie
0407|inowrocławski|04|kujawsko-pomorskie
0408|lipnowski|04|kujawsko-pomorskie
0409|mogileński|04|kujawsko-pomorskie
0410|nakielski|04|kujawsko-pomorskie
0411|radziejowski|04|kujawsko-pomorskie
0412|rypiński|04|kujawsko-pomorskie
0413|sępoleński|04|kujawsko-pomorskie
0414|świecki|04|kujawsko-pomorskie
0415|toruński|04|kujawsko-pomorskie
0416|tucholski|04|kujawsko-pomorskie
0417|wąbrzeski|04|kujawsko-pomorskie
0418|włocławski|04|kujawsko-pomorskie
0419|żniński|04|kujawsko-pomorskie
0461|Bydgoszcz|04|kujawsko-pomorskie
0462|Grudziądz|04|kujawsko-pomorskie
0463|Toruń|04|kujawsko-pomorskie
0464|Włocławek|04|kujawsko-pomorskie
0601|bialski|06|lubelskie
0602|biłgorajski|06|lubelskie
0603|chełmski|06|lubelskie
0604|hrubieszowski|06|lubelskie
0605|janowski|06|lubelskie
0606|krasnostawski|06|lubelskie
0607|kraśnicki|06|lubelskie
0608|lubartowski|06|lubelskie
0609|lubelski|06|lubelskie
0610|łęczyński|06|lubelskie
0611|łukowski|06|lubelskie
